Date d'envoi du CV et de la lettre,Nom de l'entreprise,Adresse de l'entreprise,Lien d'affichage du stage/poste,CV et lettre remis en main propre,Titre du poste,Nom du contact,Numéro de téléphone,Adresse courriel,Réponse/Relance/informations supplémentaires, Autre liens site
24 novembre 2025,Delifruit,Kosovo,,Regordant,,,Montreal,Douceur,gateau,Delifruit Enterprise
24 novembre 2025,500$,Sud-Est,,Pamplemousse,,,Montreal,fruit,Orange,Delifruit Enterprise
adadadad,dadad,sadada,,asdadsa,,,dda,dad,dadad,dada
daddd,dadad,dadd,,sadadsadsa,,,adada,dadada,adssd,dasdad
24 novembre 2025,fsfsffsdf,ffsf,,fdsfdsfsdfdsf,,,fsfs,fsfs,sfsfsf,sffsfdsfs
sdasdadadads,ffsfsf,fsff,,efdfdsfsdf,,,sff,sdfsfs,sff,fsfs
24 novembre 2025,jhbvghcfxf,gjjhg,,cc,,,lhjh,hhklhlk,hhlklk,jhgf
24 novembre 2025,hjgfdx,gfhcxfcg,,bvnvn,,,jbvchfx,"m,.n.,",kjhcfn,bvcx
jhgfxdzs,,,,jklhfdz,,,,.kjlhghfdx,,
24 novembre 2025,,wqeqee,,wewqeq,,,,wqeeqe,qeeqe,
,,,,fsdfds,,,,fsfsdfs,,
,,,,TestPY,,,,Inventaire,,
24 novembre 2025,500,Canada,,Framboise,,,Montreal,fruit,"1, 1",Delifruit Enterprise
24 novembre 2025,"8, CAD",Sherbrooke,,Framboise,,,Montreal,fruit,"1,1",Delifruit Enterprise
24 novembre 2025,44,Sherbrooke,,Framboise,,,Montreal,fruit,"1, 1",Delifruit Enterprise
24 novembre 2025,34,Sherbrooke,,"n m,bmm,",,,Montreal,fruit,"1, 1",Delifruit Enterprise
24 novembre 2025,33,Sherbrooke,,Framboiseraie,,,Montreal,fruit,"1, 1",Delifruit Enterprise
24 novembre 2025,df,Sherbrooke,,Trubn,,,Montreal,fsd,fs,Delifruit Enterprise
24 novembre 2025,44,Sherbrooke,,tytre,,,Montreal,ki,"1, 1",Delifruit Enterprise
24 novembre 2025,22,Sherbrooke,,Framboise,,,Montreal,fruit,tiers,Delifruit Enterprise
24 novembre 2025,,Sherbrooke,,Permer,,,Montreal,ewqwe,,Delifruit Enterprise
24 novembre 2025,,Sherbrooke,,RE,,,Montreal,,,Delifruit Enterprise
24 novembre 2025,55,Sherbrooke,,EFFF,,,Montreal,fruit,jhgf,Delifruit Enterprise
24 novembre 2025,dsasdsd,Sherbrooke,,ert,,,Montreal,asdad,sdads,Delifruit Enterprise
24 novembre 2025,eqeq,Sherbrooke,,ewwewq,,,Montreal,eqwe,ee,Delifruit Enterprise
24 novembre 2025,ddad,Sherbrooke,,dsd,,,Montreal,adda,dad,Delifruit Enterprise
24 novembre 2025,dsffsf,Sherbrooke,,fdsfs,,,Montreal,fsdfsf,fsfsfsfsf,Delifruit Enterprise
24 novembre 2025,4324324,Sherbrooke,,ccxxz,,,Montreal,cxzc,dfsdfsd,Delifruit Enterprise
24 novembre 2025,2323,Sherbrooke,,sadds,,,Montreal,sdad,"1, ""Organisme de la santé"", 2021-01-22",Delifruit Enterprise
24 novembre 2025,43432,Sherbrooke,,wwww,,,Montreal,ewqe,"1, Organisme de la santé, 2021-01-22",Delifruit Enterprise
24 novembre 2025,322,Sherbrooke,,ewewe,,,Montreal,3213sdsad,"1, Organisme de la santé, 2021-01-22",Delifruit Enterprise
24 novembre 2025,3242,Sherbrooke,,dda,,,Montreal,saadsa,"1, 'Organisme de la santé', '2021-01-22'",Delifruit Enterprise
2025-11-26,21,Sherbrooke,,Framboise,,,Montreal,Fruit,"1, ""Organisme"", ""2021-02-16""",Delifruit Enterprise
2025-11-26,12,Sherbrooke,,Fretin,,,Montreal,poisson,2019-12-01,Delifruit Enterprise
2025-11-26,212,Sherbrooke,,Tulipe,,,Montreal,fleur,"3, 'Organisme', 2012-01-22",Delifruit Enterprise
2025-11-26,21,Sherbrooke,,Regular,,,Montreal,produc,"1, ""Organisme"", ""2023-12-12""",Delifruit Enterprise
